Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
mul_E3_mult_16_U50              1.175e+08       2.887e+08    0.00104   0.0007022   6.827e-05    0.001811      0.1335    FA_X1
U469                            4.981e+08        4.83e+08     0.0014   0.0003765   3.266e-05     0.00181      0.1334    OAI22_X1
U465                            4.834e+08       4.705e+08   0.001409   0.0003752    2.48e-05    0.001809      0.1333    OAI22_X1
FE_OFC12_int_reg_2d_3           4.157e+07       4.157e+07   0.000166    0.001617   2.333e-05    0.001806      0.1331    CLKBUF_X2
U467                            4.898e+08       4.762e+08    0.00138   0.0003923   3.266e-05    0.001805      0.1331    OAI22_X1
mul_F1_mult_16_U334             4.127e+08       4.607e+08  0.0009195   0.0008386   3.639e-05    0.001795      0.1323    XOR2_X1
mul_F2_mult_16_U331             4.875e+07       7.559e+07  0.0004701    0.001253     7.1e-05    0.001794      0.1323    XOR2_X2
int_reg_1d_reg_4_               1.667e+08       9.146e+07  0.0008397   0.0008542   8.825e-05    0.001782      0.1314    DFFR_X1
mul_F3_mult_16_U330             4.837e+07       7.483e+07  0.0004626    0.001247   7.138e-05    0.001781      0.1313    XOR2_X2
mul_F1_mult_16_U329             4.875e+07       7.559e+07  0.0004852    0.001199    7.04e-05    0.001755      0.1293    XOR2_X2
mul_F0_mult_16_U339             4.463e+08       4.943e+08  0.0009811   0.0007363   3.639e-05    0.001754      0.1293    XOR2_X1
mul_F0_mult_16_U41              1.451e+08       2.789e+08  0.0009955   0.0006899   6.802e-05    0.001753      0.1292    FA_X1
mul_E2_mult_16_U45              1.436e+08       2.834e+08   0.001009   0.0006628   6.938e-05    0.001741      0.1283    FA_X1
mul_F1_mult_16_U60              1.323e+08       2.876e+08   0.001013   0.0006557   6.559e-05    0.001735      0.1279    FA_X1
mul_F0_mult_16_U60              1.364e+08       2.921e+08   0.001031   0.0006345   6.751e-05    0.001733      0.1278    FA_X1
FE_OFC8_int_reg_2d_5            3.817e+07       3.817e+07  0.0001523    0.001548   2.268e-05    0.001723       0.127    CLKBUF_X2
U455                             4.63e+08        4.46e+08   0.001332   0.0003595   2.497e-05    0.001716      0.1265    OAI22_X1
int_reg_3d_reg_3_               1.667e+08       8.314e+07  0.0007499   0.0008777   8.819e-05    0.001716      0.1265    DFFR_X1
