Information: Updating design information... (UID-85)
Information: Propagating switching activity (low effort zero delay simulation). (PWR-6)
Warning: There is no defined clock in the design. (PWR-80)
Warning: Invalid switching activity annotation on constant net(s) is being ignored. (PWR-421)
 
****************************************
Report : power
        -net
        -cell
        -hier
        -analysis_effort low
        -sort_mode dynamic_power
Design : myiir_adv
Version: O-2018.06-SP4
Date   : Tue Nov  3 18:00:35 2020
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
myiir_adv              5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
n293                           4.035    0.560    0.0420      0.1024  a
n227                           1.981    0.460    0.0506      0.0607  a
n295                           4.035    0.361    0.0404      0.0987  a
n296                           4.035    0.365    0.0404      0.0987  a
n292                           4.035    0.569    0.0416      0.1015  a
n205                           1.981    0.465    0.0495      0.0593  a
n270                           1.981    0.469    0.0484      0.0580  a
n273                           1.981    0.469    0.0484      0.0580  a
n207                           1.981    0.460    0.0488      0.0584  a
n208                           1.981    0.460    0.0488      0.0584  a
n209                           1.981    0.460    0.0488      0.0584  a
n210                           1.981    0.460    0.0488      0.0584  a
n211                           1.981    0.460    0.0488      0.0584  a
n212                           1.981    0.460    0.0488      0.0584  a
n213                           1.981    0.460    0.0488      0.0584  a
n242                           1.981    0.460    0.0488      0.0584  a
n243                           1.981    0.460    0.0488      0.0584  a
n244                           1.981    0.460    0.0488      0.0584  a
n245                           1.981    0.460    0.0488      0.0584  a
n246                           1.981    0.460    0.0488      0.0584  a
n247                           1.981    0.460    0.0488      0.0584  a
n276                           1.981    0.469    0.0484      0.0580  a
int_add_F1_d[4]                3.782    0.385    0.0404      0.0925  a
